v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,p10_multiplier,p90_multiplier,mean_rank,p10_rank,p90_rank,expected_regret,p90_regret,prob_best_response,label,group
28,61050.90036882105,19997.886628526838,37606.27892124164,45481.00062202745,61230.44402359896,76979.88742517047,84854.60912595628,0.23024,0.04146128849077516,0.18163265306122445,0.2795918367346939,42.0228,39.0,45.0,145492.86831035672,173085.84334424132,0.0,Just-above weight = 30%,just_above_weight
29,61027.745577344846,19883.936033152666,35997.60979934284,43727.732028497296,59187.9764868061,74648.22094511491,90108.46540342376,0.23449795918367344,0.04199619109679948,0.18163265306122445,0.29591836734693877,41.762,38.0,45.0,145516.02310183292,172873.2491635394,0.0,Just-above weight = 30%,just_above_weight
30,68912.1266900944,20737.39771859533,41992.03328722883,57165.97692223561,64752.948739739004,79926.89237474585,95100.83600975265,0.25588897959183676,0.044625150430881,0.19795918367346943,0.31224489795918364,40.4518,37.0,44.0,137631.64198908338,166190.19275364233,0.0,Just-above weight = 30%,just_above_weight
31,87975.69605031774,22222.528200908557,62587.79876351752,70031.62016936991,84919.26298107475,99806.90579277952,114694.54860448436,0.30262204081632654,0.04874066251352554,0.24693877551020404,0.36122448979591837,37.5894,34.0,41.0,118568.07262886003,147971.2338462634,0.0,Just-above weight = 30%,just_above_weight
32,93367.65671572924,22651.66712523423,67723.31978149741,75023.99077569884,89625.3327641016,111527.3457467058,118828.01674090722,0.3206138775510204,0.050656047510188124,0.2632653061224489,0.37755102040816335,36.4874,33.0,40.0,113176.11196344852,142835.71282828352,0.0,Just-above weight = 30%,just_above_weight
33,104321.86977625232,22950.40683032378,72572.53997617534,86887.58114127608,101202.62230637687,122675.18405402798,130548.45669483603,0.35201306122448983,0.05235060316728302,0.2795918367346939,0.4118367346938835,34.5642,30.900000000000034,39.0,102221.89890292544,131910.21479804156,0.0,Just-above weight = 30%,just_above_weight
34,125125.81096462016,23522.578958115806,97510.92406278374,112244.4765256537,126276.43125219666,140308.3859787397,154340.3407052827,0.4075265306122449,0.054738219004108774,0.34326530612244954,0.47551020408163264,31.164,27.0,35.100000000000364,81417.95771455762,109969.70424176051,0.0,Just-above weight = 30%,just_above_weight
35,147272.2486621568,23786.984918985665,115875.24481114664,129626.56044315881,150253.53389117704,164004.8495231892,177756.1651552014,0.4684310204081632,0.05648316827936857,0.3938775510204081,0.5408163265306123,27.4336,23.0,32.0,59271.52001702095,86140.71151512762,0.0006,Just-above weight = 30%,just_above_weight
36,164983.915132279,23172.77598234044,132696.0505395901,152902.06534581204,166372.74188329332,179843.41842077463,193314.0949582559,0.5211232653061224,0.05617105204682076,0.4428571428571429,0.5897959183673469,24.2062,20.0,29.0,41559.85354689876,65787.47839545079,0.0054,Just-above weight = 30%,just_above_weight
37,170162.82898275153,22511.275766445793,142079.92026296572,155269.95770591617,168459.99514886664,188245.05131329226,201435.0887562427,0.5450318367346939,0.05572858068238388,0.47551020408163264,0.6224489795918368,22.7418,18.0,27.0,36380.93969642625,59365.0059944962,0.006,Just-above weight = 30%,just_above_weight
38,174755.20712565453,22060.551669713386,144447.81262306988,157357.21097148943,176721.30849411883,189630.70684253838,202540.105190958,0.5684963265306122,0.05580000902252423,0.49183673469387756,0.6387755102040817,21.3046,17.0,26.0,31788.561553523243,53004.762465453416,0.0086,Just-above weight = 30%,just_above_weight
39,178600.91455921307,21254.992286952333,152920.21630519303,165553.38152263698,178186.54674008087,190819.71195752482,203452.87717496871,0.5908669387755102,0.05493797892499489,0.5244897959183673,0.6551020408163265,19.9344,16.0,24.0,27942.85411996472,47041.91286186015,0.0078,Just-above weight = 30%,just_above_weight
40,184737.94144143138,20434.44079544889,160867.43844605787,173225.96963703563,185584.50082801338,197943.03201899113,210301.56320996888,0.6202122448979592,0.05399080489994824,0.5571428571428572,0.6877551020408164,18.137,14.0,22.0,21805.827237746358,38218.6104741926,0.0206,Just-above weight = 30%,just_above_weight
41,199046.70378115078,18914.72590736182,174307.34111624619,186391.23828075783,198475.13544526938,210559.03260978093,222642.9297742925,0.6729730612244899,0.05111130082366045,0.6061224489795918,0.736734693877551,14.9054,11.0,19.0,7497.0648980270025,19027.544309028483,0.2696,Just-above weight = 30%,just_above_weight
42,199632.47069620044,18045.36385688856,175114.07856899058,186923.34170703596,198732.6048450814,210541.86798312678,222351.13112117222,0.6902432653061226,0.04989611662889105,0.6224489795918368,0.753061224489796,13.8476,10.0,18.0,6911.297982977322,16725.665747850726,0.1924,Just-above weight = 30%,just_above_weight
43,199276.02319325,17187.518728440584,175646.18199526882,187180.81110684804,198715.44021842728,210250.0693300065,221784.69844158576,0.7056685714285714,0.04865566945481063,0.6387755102040817,0.7693877551020408,12.9028,9.0,17.0,7267.745485927742,15234.100378233503,0.1256,Just-above weight = 30%,just_above_weight
44,198164.75567048538,16355.597425486478,176026.8033430536,187292.9368430189,198559.07034298417,209825.20384294947,221091.33734291472,0.719265306122449,0.04740404719144888,0.6551020408163265,0.7857142857142857,12.07,8.0,16.0,8379.013008692373,16329.187543104374,0.0788,Just-above weight = 30%,just_above_weight
45,195967.85963799214,15631.88478568147,176144.15890034492,187142.0511265015,198139.94335265807,209137.83557881467,214636.78169189295,0.7302857142857143,0.046411519631649106,0.6714285714285715,0.7857142857142857,11.395,8.0,15.0,10575.909041185614,19004.04030855614,0.0324,Just-above weight = 30%,just_above_weight
46,199347.43144670792,14320.81829885742,181358.09866000144,192087.74961234932,197452.5750885233,208182.22604087117,218911.87699321908,0.7588277551020408,0.043581898309101995,0.7040816326530612,0.8183673469387756,9.6468,6.0,13.0,7196.337232469848,17914.312277928722,0.2346,Just-above weight = 30%,just_above_weight
47,194223.70122743325,13795.306325650312,175574.14619350142,186035.5558720406,196496.96555057983,201727.6703898494,212189.0800683886,0.7622922448979591,0.04305910923134328,0.7040816326530612,0.8183673469387756,9.4346,6.0,13.0,12320.067451744511,23322.149946641886,0.009,Just-above weight = 30%,just_above_weight
48,189075.14649948428,13359.018563442161,169827.20395706402,180022.08877826118,190216.97359945838,200411.85842065557,205509.30083125414,0.7657306122448979,0.04278742317364882,0.7040816326530612,0.8183673469387756,9.224,6.0,13.0,17468.622179693477,28647.93148820536,0.002,Just-above weight = 30%,just_above_weight
49,183959.222592556,12869.325184757901,169157.34774285075,174124.0865018955,184057.5640199851,193991.04153807467,198957.78029711943,0.7690644897959185,0.04230370103626984,0.7204081632653061,0.8183673469387756,9.0198,6.0,12.0,22584.546086621758,34264.72115212021,0.0004,Just-above weight = 30%,just_above_weight
50,180729.16939243703,12121.680775662448,163390.0491180389,173062.11933302085,182734.18954800276,187570.22465549377,197242.2948704757,0.778945306122449,0.040922985019103915,0.7204081632653061,0.8346938775510204,8.4146,5.0,12.0,25814.599286740737,38548.34511163764,0.001,Just-above weight = 30%,just_above_weight
51,179604.17692278308,11103.140077900593,167033.4134051014,171738.74486103855,181149.40777291288,185854.73922885003,195265.40214072433,0.7966791836734693,0.03852560825341106,0.753061224489796,0.8510204081632653,7.3284,4.0,10.0,26939.591756394668,41119.04125149486,0.0052,Just-above weight = 30%,just_above_weight
52,174072.58926318338,10687.838779293113,161004.70747718192,165579.33528156526,174728.59089033198,183877.84649909864,188452.47430348198,0.7996995918367348,0.03814415827265075,0.753061224489796,0.8510204081632653,7.1434,4.0,10.0,32471.179415994382,46447.0181060881,0.0,Just-above weight = 30%,just_above_weight
53,168583.3333560729,10291.522769459712,155079.43605145544,163971.76932197926,168417.93595724116,177310.26922776498,181756.43586302688,0.8026481632653062,0.037790950120856565,0.753061224489796,0.8510204081632653,6.9628,4.0,10.0,37960.43532310486,52403.95839619072,0.0,Just-above weight = 30%,just_above_weight
54,163144.0455344924,9843.18403502415,149220.02359284242,157858.29019849413,162177.42350131998,170815.69010697168,175134.82340979754,0.8056946938775511,0.0372077067787277,0.753061224489796,0.8510204081632653,6.7762,4.0,10.0,43399.72314468536,57869.18824957663,0.0,Just-above weight = 30%,just_above_weight
55,157621.2968135014,9358.394210887715,143360.61113422943,151744.811075009,160129.01101578862,164321.1109861784,168513.2109565682,0.8086008163265307,0.03644715313201529,0.753061224489796,0.8510204081632653,6.5982,4.0,10.0,48922.47186567633,63934.65170401649,0.0,Just-above weight = 30%,just_above_weight
