model,delta_key,delta_value,bid,net_gain_if_accepted,uplift_pct_vs_base,fee_roi
model_F3,Delta_conservative_mean,1533.8333333333333,175,1358.8333333333333,0.01350100433694718,7.7647619047619045
model_F3,Delta_conservative_mean,1533.8333333333333,200,1333.8333333333333,0.013252611027669359,6.6691666666666665
model_F3,Delta_conservative_mean,1533.8333333333333,225,1308.8333333333333,0.013004217718391537,5.817037037037037
model_F3,Delta_conservative_min,1380.0,100,1280.0,0.01271773743502445,12.8
model_F3,Delta_conservative_min,1380.0,125,1255.0,0.012469344125746629,10.04
model_F3,Delta_conservative_min,1380.0,150,1230.0,0.012220950816468809,8.2
model_F3,Delta_conservative_min,1380.0,175,1205.0,0.011972557507190987,6.885714285714286
model_F3,Delta_conservative_min,1380.0,200,1180.0,0.011724164197913165,5.9
model_F3,Delta_conservative_min,1380.0,225,1155.0,0.011475770888635344,5.133333333333334
model_F3,Delta_central_mean,2400.5,100,2300.5,0.022857152319745118,23.005
model_F3,Delta_central_mean,2400.5,125,2275.5,0.022608759010467296,18.204
model_F3,Delta_central_mean,2400.5,150,2250.5,0.022360365701189475,15.003333333333334
model_F3,Delta_central_mean,2400.5,175,2225.5,0.022111972391911653,12.717142857142857
model_F3,Delta_central_mean,2400.5,200,2200.5,0.02186357908263383,11.0025
model_F3,Delta_central_mean,2400.5,225,2175.5,0.02161518577335601,9.668888888888889
