scenario,scenario_label,delta_key,delta_label,delta_value,bid,q_accept,net_gain_if_accepted,uplift_pct_vs_base,fee_roi,ev_uplift,ev_total
E_cola_superior,Escenario E — cola superior agresiva,conservative,Delta_conservative,1005.1666666666666,175,0.9978721165260535,830.1666666666666,0.008067794743380636,4.7438095238095235,828.4001687360453,103727.23350206936
E_cola_superior,Escenario E — cola superior agresiva,downside,Delta_downside,851.0,175,0.9978721165260535,676.0,0.006569559421632575,3.862857142857143,674.5615507716121,103573.39488410493
E_cola_superior,Escenario E — cola superior agresiva,central,Delta_central,1609.8333333333333,175,0.9978721165260535,1434.8333333333333,0.01394411663235573,8.199047619047619,1431.7801751954655,104330.61350852878
F_overinsurance,Escenario F — overinsurance,conservative,Delta_conservative,1005.1666666666666,100,0.0,905.1666666666666,0.0087966659809878,9.051666666666666,0.0,102898.83333333331
F_overinsurance,Escenario F — overinsurance,downside,Delta_downside,851.0,100,0.0,751.0,0.00729843065923974,7.51,0.0,102898.83333333331
F_overinsurance,Escenario F — overinsurance,central,Delta_central,1609.8333333333333,100,0.0,1509.8333333333333,0.014672987869962894,15.098333333333333,0.0,102898.83333333331
F_overinsurance,Escenario F — overinsurance,conservative,Delta_conservative,1005.1666666666666,125,0.0,880.1666666666666,0.008553708901785412,7.041333333333333,0.0,102898.83333333331
F_overinsurance,Escenario F — overinsurance,downside,Delta_downside,851.0,125,0.0,726.0,0.007055473580037352,5.808,0.0,102898.83333333331
F_overinsurance,Escenario F — overinsurance,central,Delta_central,1609.8333333333333,125,0.0,1484.8333333333333,0.014430030790760506,11.878666666666666,0.0,102898.83333333331
F_overinsurance,Escenario F — overinsurance,conservative,Delta_conservative,1005.1666666666666,150,0.015351330817112856,855.1666666666666,0.008310751822583024,5.701111111111111,13.127946403767677,102911.96127973708
F_overinsurance,Escenario F — overinsurance,downside,Delta_downside,851.0,150,0.015351330817112856,701.0,0.006812516500834964,4.673333333333333,10.761282902796113,102909.5946162361
F_overinsurance,Escenario F — overinsurance,central,Delta_central,1609.8333333333333,150,0.015351330817112856,1459.8333333333333,0.014187073711558118,9.732222222222221,22.410384437848585,102921.24371777117
F_overinsurance,Escenario F — overinsurance,conservative,Delta_conservative,1005.1666666666666,175,0.5618951163770669,830.1666666666666,0.008067794743380636,4.7438095238095235,466.46659577902835,103365.29992911234
F_overinsurance,Escenario F — overinsurance,downside,Delta_downside,851.0,175,0.5618951163770669,676.0,0.006569559421632575,3.862857142857143,379.8410986708972,103278.6744320042
F_overinsurance,Escenario F — overinsurance,central,Delta_central,1609.8333333333333,175,0.5618951163770669,1434.8333333333333,0.01394411663235573,8.199047619047619,806.2258428150282,103705.05917614834
