day,timestamp,global_ts,equity_total,pnl_total,pnl_TOMATOES,pnl_EMERALDS
-1,624000,1623901,27617.5,27617.5,14241.5,13376.0
-1,624100,1624001,27617.5,27617.5,14241.5,13376.0
-1,624200,1624101,27617.5,27617.5,14241.5,13376.0
-1,624300,1624201,27619.0,27619.0,14243.0,13376.0
-1,624400,1624301,27620.5,27620.5,14244.5,13376.0
-1,624500,1624401,27620.5,27620.5,14244.5,13376.0
-1,624600,1624501,27619.0,27619.0,14243.0,13376.0
-1,624700,1624601,27617.5,27617.5,14241.5,13376.0
-1,624800,1624701,27628.0,27628.0,14252.0,13376.0
-1,624900,1624801,27619.0,27619.0,14243.0,13376.0
-1,625000,1624901,27617.5,27617.5,14241.5,13376.0
-1,625100,1625001,27617.5,27617.5,14241.5,13376.0
-1,625200,1625101,27617.5,27617.5,14241.5,13376.0
-1,625300,1625201,27597.5,27597.5,14241.5,13356.0
-1,625400,1625301,27625.0,27625.0,14249.0,13376.0
-1,625500,1625401,27616.0,27616.0,14240.0,13376.0
-1,625600,1625501,27629.5,27629.5,14253.5,13376.0
-1,625700,1625601,27629.5,27629.5,14253.5,13376.0
-1,625800,1625701,27630.0,27630.0,14254.0,13376.0
-1,625900,1625801,27629.5,27629.5,14253.5,13376.0
-1,626000,1625901,27630.5,27630.5,14254.5,13376.0
-1,626100,1626001,27630.0,27630.0,14254.0,13376.0
-1,626200,1626101,27630.0,27630.0,14254.0,13376.0
-1,626300,1626201,27629.0,27629.0,14253.0,13376.0
-1,626400,1626301,27629.5,27629.5,14253.5,13376.0
-1,626500,1626401,27629.5,27629.5,14253.5,13376.0
-1,626600,1626501,27629.0,27629.0,14253.0,13376.0
-1,626700,1626601,27643.0,27643.0,14267.0,13376.0
-1,626800,1626701,27641.5,27641.5,14265.5,13376.0
-1,626900,1626801,27641.5,27641.5,14265.5,13376.0
-1,627000,1626901,27643.0,27643.0,14267.0,13376.0
-1,627100,1627001,27625.0,27625.0,14249.0,13376.0
-1,627200,1627101,27653.0,27653.0,14277.0,13376.0
-1,627300,1627201,27649.5,27649.5,14273.5,13376.0
-1,627400,1627301,27649.5,27649.5,14273.5,13376.0
-1,627500,1627401,27653.0,27653.0,14277.0,13376.0
-1,627600,1627501,27656.5,27656.5,14280.5,13376.0
-1,627700,1627601,27656.5,27656.5,14280.5,13376.0
-1,627800,1627701,27653.0,27653.0,14277.0,13376.0
-1,627900,1627801,27653.0,27653.0,14277.0,13376.0
-1,628000,1627901,27659.5,27659.5,14283.5,13376.0
-1,628100,1628001,27673.0,27673.0,14297.0,13376.0
-1,628200,1628101,27671.5,27671.5,14295.5,13376.0
-1,628300,1628201,27651.5,27651.5,14295.5,13356.0
-1,628400,1628301,27671.5,27671.5,14295.5,13376.0
-1,628500,1628401,27661.0,27661.0,14285.0,13376.0
-1,628600,1628501,27671.5,27671.5,14295.5,13376.0
-1,628700,1628601,27671.5,27671.5,14295.5,13376.0
-1,628800,1628701,27670.0,27670.0,14294.0,13376.0
-1,628900,1628801,27671.5,27671.5,14295.5,13376.0
-1,629000,1628901,27673.0,27673.0,14297.0,13376.0
-1,629100,1629001,27674.5,27674.5,14298.5,13376.0
-1,629200,1629101,27674.5,27674.5,14298.5,13376.0
-1,629300,1629201,27674.5,27674.5,14298.5,13376.0
-1,629400,1629301,27700.5,27700.5,14324.5,13376.0
-1,629500,1629401,27718.0,27718.0,14342.0,13376.0
-1,629600,1629501,27778.0,27778.0,14338.0,13440.0
-1,629700,1629601,27766.0,27766.0,14326.0,13440.0
-1,629800,1629701,27778.0,27778.0,14338.0,13440.0
-1,629900,1629801,27780.0,27780.0,14340.0,13440.0
-1,630000,1629901,27778.0,27778.0,14338.0,13440.0
-1,630100,1630001,27778.0,27778.0,14338.0,13440.0
-1,630200,1630101,27780.0,27780.0,14340.0,13440.0
-1,630300,1630201,27780.0,27780.0,14340.0,13440.0
-1,630400,1630301,27792.0,27792.0,14352.0,13440.0
-1,630500,1630401,27780.0,27780.0,14340.0,13440.0
-1,630600,1630501,27799.5,27799.5,14359.5,13440.0
-1,630700,1630601,27799.0,27799.0,14359.0,13440.0
-1,630800,1630701,27801.5,27801.5,14361.5,13440.0
-1,630900,1630801,27798.5,27798.5,14358.5,13440.0
-1,631000,1630901,27798.5,27798.5,14358.5,13440.0
-1,631100,1631001,27799.0,27799.0,14359.0,13440.0
-1,631200,1631101,27847.0,27847.0,14359.0,13488.0
-1,631300,1631201,27847.5,27847.5,14359.5,13488.0
-1,631400,1631301,27848.0,27848.0,14360.0,13488.0
-1,631500,1631401,27848.5,27848.5,14360.5,13488.0
-1,631600,1631501,27848.5,27848.5,14360.5,13488.0
-1,631700,1631601,27880.0,27880.0,14360.0,13520.0
-1,631800,1631701,27873.0,27873.0,14353.0,13520.0
-1,631900,1631801,27876.0,27876.0,14356.0,13520.0
-1,632000,1631901,27876.0,27876.0,14356.0,13520.0
-1,632100,1632001,27875.0,27875.0,14355.0,13520.0
-1,632200,1632101,27875.0,27875.0,14355.0,13520.0
-1,632300,1632201,27875.0,27875.0,14355.0,13520.0
-1,632400,1632301,27877.0,27877.0,14357.0,13520.0
-1,632500,1632401,27885.0,27885.0,14357.0,13528.0
-1,632600,1632501,27899.0,27899.0,14355.0,13544.0
-1,632700,1632601,27898.0,27898.0,14354.0,13544.0
-1,632800,1632701,27919.5,27919.5,14375.5,13544.0
-1,632900,1632801,27919.5,27919.5,14375.5,13544.0
-1,633000,1632901,27919.5,27919.5,14375.5,13544.0
-1,633100,1633001,27921.0,27921.0,14377.0,13544.0
-1,633200,1633101,27920.0,27920.0,14376.0,13544.0
-1,633300,1633201,27921.5,27921.5,14377.5,13544.0
-1,633400,1633301,27921.5,27921.5,14377.5,13544.0
-1,633500,1633401,27922.0,27922.0,14378.0,13544.0
-1,633600,1633501,27922.0,27922.0,14378.0,13544.0
-1,633700,1633601,27922.0,27922.0,14378.0,13544.0
-1,633800,1633701,27921.5,27921.5,14377.5,13544.0
-1,633900,1633801,27921.0,27921.0,14377.0,13544.0
-1,634000,1633901,27921.5,27921.5,14377.5,13544.0
-1,634100,1634001,27920.5,27920.5,14376.5,13544.0
-1,634200,1634101,27920.5,27920.5,14376.5,13544.0
-1,634300,1634201,27917.5,27917.5,14377.5,13540.0
-1,634400,1634301,27921.5,27921.5,14377.5,13544.0
-1,634500,1634401,27917.5,27917.5,14373.5,13544.0
-1,634600,1634501,27919.5,27919.5,14375.5,13544.0
-1,634700,1634601,27919.0,27919.0,14375.0,13544.0
-1,634800,1634701,27918.5,27918.5,14374.5,13544.0
-1,634900,1634801,27919.0,27919.0,14375.0,13544.0
-1,635000,1634901,27918.5,27918.5,14374.5,13544.0
-1,635100,1635001,27922.0,27922.0,14378.0,13544.0
-1,635200,1635101,27917.5,27917.5,14373.5,13544.0
-1,635300,1635201,27947.0,27947.0,14403.0,13544.0
-1,635400,1635301,27950.0,27950.0,14406.0,13544.0
-1,635500,1635401,27953.0,27953.0,14409.0,13544.0
-1,635600,1635501,27953.0,27953.0,14409.0,13544.0
-1,635700,1635601,27982.0,27982.0,14406.0,13576.0
-1,635800,1635701,27985.0,27985.0,14409.0,13576.0
-1,635900,1635801,27982.0,27982.0,14406.0,13576.0
-1,636000,1635901,27985.0,27985.0,14409.0,13576.0
-1,636100,1636001,27982.0,27982.0,14406.0,13576.0
-1,636200,1636101,27988.0,27988.0,14412.0,13576.0
-1,636300,1636201,27985.0,27985.0,14409.0,13576.0
-1,636400,1636301,27982.0,27982.0,14406.0,13576.0
-1,636500,1636401,27982.0,27982.0,14406.0,13576.0
-1,636600,1636501,27958.0,27958.0,14382.0,13576.0
-1,636700,1636601,27979.0,27979.0,14403.0,13576.0
-1,636800,1636701,27979.0,27979.0,14403.0,13576.0
-1,636900,1636801,27979.0,27979.0,14403.0,13576.0
-1,637000,1636901,27976.0,27976.0,14400.0,13576.0
-1,637100,1637001,27979.0,27979.0,14403.0,13576.0
-1,637200,1637101,27979.0,27979.0,14403.0,13576.0
-1,637300,1637201,27976.0,27976.0,14400.0,13576.0
-1,637400,1637301,27973.0,27973.0,14397.0,13576.0
-1,637500,1637401,27973.0,27973.0,14397.0,13576.0
-1,637600,1637501,27973.0,27973.0,14397.0,13576.0
-1,637700,1637601,27970.0,27970.0,14394.0,13576.0
-1,637800,1637701,27970.0,27970.0,14394.0,13576.0
-1,637900,1637801,27976.0,27976.0,14400.0,13576.0
-1,638000,1637901,27976.0,27976.0,14400.0,13576.0
-1,638100,1638001,27970.0,27970.0,14394.0,13576.0
-1,638200,1638101,27973.0,27973.0,14397.0,13576.0
-1,638300,1638201,27976.0,27976.0,14400.0,13576.0
-1,638400,1638301,27967.0,27967.0,14403.0,13564.0
-1,638500,1638401,27982.0,27982.0,14406.0,13576.0
-1,638600,1638501,27982.0,27982.0,14406.0,13576.0
-1,638700,1638601,27976.0,27976.0,14400.0,13576.0
-1,638800,1638701,27979.0,27979.0,14403.0,13576.0
-1,638900,1638801,27982.0,27982.0,14406.0,13576.0
-1,639000,1638901,27982.0,27982.0,14406.0,13576.0
-1,639100,1639001,27982.0,27982.0,14406.0,13576.0
-1,639200,1639101,27982.0,27982.0,14406.0,13576.0
-1,639300,1639201,27985.0,27985.0,14409.0,13576.0
-1,639400,1639301,27982.0,27982.0,14406.0,13576.0
-1,639500,1639401,27982.0,27982.0,14406.0,13576.0
-1,639600,1639501,27982.0,27982.0,14406.0,13576.0
-1,639700,1639601,27979.0,27979.0,14403.0,13576.0
-1,639800,1639701,27976.0,27976.0,14400.0,13576.0
-1,639900,1639801,27979.0,27979.0,14403.0,13576.0
-1,640000,1639901,27979.0,27979.0,14403.0,13576.0
-1,640100,1640001,27976.0,27976.0,14400.0,13576.0
-1,640200,1640101,27985.0,27985.0,14409.0,13576.0
-1,640300,1640201,27964.0,27964.0,14388.0,13576.0
-1,640400,1640301,27964.0,27964.0,14388.0,13576.0
-1,640500,1640401,27964.0,27964.0,14388.0,13576.0
-1,640600,1640501,27970.0,27970.0,14394.0,13576.0
-1,640700,1640601,27970.0,27970.0,14394.0,13576.0
-1,640800,1640701,27970.0,27970.0,14394.0,13576.0
-1,640900,1640801,27967.0,27967.0,14391.0,13576.0
-1,641000,1640901,27970.0,27970.0,14394.0,13576.0
-1,641100,1641001,27971.0,27971.0,14395.0,13576.0
-1,641200,1641101,27971.0,27971.0,14395.0,13576.0
-1,641300,1641201,27963.0,27963.0,14387.0,13576.0
-1,641400,1641301,27965.0,27965.0,14389.0,13576.0
-1,641500,1641401,27963.0,27963.0,14387.0,13576.0
-1,641600,1641501,27965.0,27965.0,14389.0,13576.0
-1,641700,1641601,27967.0,27967.0,14391.0,13576.0
-1,641800,1641701,27965.0,27965.0,14389.0,13576.0
-1,641900,1641801,27967.0,27967.0,14391.0,13576.0
-1,642000,1641901,27969.0,27969.0,14393.0,13576.0
-1,642100,1642001,27967.0,27967.0,14391.0,13576.0
-1,642200,1642101,27963.0,27963.0,14387.0,13576.0
-1,642300,1642201,27965.0,27965.0,14389.0,13576.0
-1,642400,1642301,27989.0,27989.0,14389.0,13600.0
-1,642500,1642401,27989.0,27989.0,14389.0,13600.0
-1,642600,1642501,27989.0,27989.0,14389.0,13600.0
-1,642700,1642601,27991.0,27991.0,14391.0,13600.0
-1,642800,1642701,27991.0,27991.0,14391.0,13600.0
-1,642900,1642801,27991.0,27991.0,14391.0,13600.0
-1,643000,1642901,27995.0,27995.0,14395.0,13600.0
-1,643100,1643001,27997.0,27997.0,14397.0,13600.0
-1,643200,1643101,27995.0,27995.0,14395.0,13600.0
-1,643300,1643201,27995.0,27995.0,14395.0,13600.0
-1,643400,1643301,27953.0,27953.0,14377.0,13576.0
-1,643500,1643401,27993.0,27993.0,14393.0,13600.0
-1,643600,1643501,27993.0,27993.0,14393.0,13600.0
-1,643700,1643601,27989.0,27989.0,14389.0,13600.0
-1,643800,1643701,28002.0,28002.0,14402.0,13600.0
-1,643900,1643801,28002.0,28002.0,14402.0,13600.0
-1,644000,1643901,28001.0,28001.0,14401.0,13600.0
-1,644100,1644001,28002.0,28002.0,14402.0,13600.0
-1,644200,1644101,28002.0,28002.0,14402.0,13600.0
-1,644300,1644201,28002.0,28002.0,14402.0,13600.0
-1,644400,1644301,28004.0,28004.0,14404.0,13600.0
-1,644500,1644401,28004.0,28004.0,14404.0,13600.0
-1,644600,1644501,28004.0,28004.0,14404.0,13600.0
-1,644700,1644601,28032.0,28032.0,14432.0,13600.0
-1,644800,1644701,28032.0,28032.0,14432.0,13600.0
-1,644900,1644801,28032.0,28032.0,14432.0,13600.0
-1,645000,1644901,28032.0,28032.0,14432.0,13600.0
-1,645100,1645001,28033.0,28033.0,14433.0,13600.0
-1,645200,1645101,28031.0,28031.0,14431.0,13600.0
-1,645300,1645201,28031.0,28031.0,14431.0,13600.0
-1,645400,1645301,28029.0,28029.0,14429.0,13600.0
-1,645500,1645401,28031.0,28031.0,14431.0,13600.0
-1,645600,1645501,28030.0,28030.0,14430.0,13600.0
-1,645700,1645601,28030.0,28030.0,14430.0,13600.0
-1,645800,1645701,28029.0,28029.0,14429.0,13600.0
-1,645900,1645801,28030.0,28030.0,14430.0,13600.0
-1,646000,1645901,28031.0,28031.0,14431.0,13600.0
-1,646100,1646001,28031.0,28031.0,14431.0,13600.0
-1,646200,1646101,28030.0,28030.0,14430.0,13600.0
-1,646300,1646201,28094.0,28094.0,14430.0,13664.0
-1,646400,1646301,28094.0,28094.0,14430.0,13664.0
-1,646500,1646401,28094.0,28094.0,14430.0,13664.0
-1,646600,1646501,28093.0,28093.0,14429.0,13664.0
-1,646700,1646601,28094.0,28094.0,14430.0,13664.0
-1,646800,1646701,28093.0,28093.0,14429.0,13664.0
-1,646900,1646801,28094.0,28094.0,14430.0,13664.0
-1,647000,1646901,28093.0,28093.0,14429.0,13664.0
